NAME,WIDTH,PRICE,POWER,GRASS,AREA,DESCRIPTION
Cooper NBW849,36.0,35000.0,1.65,35.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Bear QHM833,36.0,8000.0,1.65,50.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Gardez GZK194,41.0,11000.0,1.05,40.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Cooper FJQ789,39.0,17000.0,1.55,55.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf VAF771,41.0,17000.0,0.8,25.0,,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita BTW248,44.0,18000.0,1.25,75.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx ZRB921,44.0,40000.0,1.15,30.0,500.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear IPI226,,330396.0,0.95,35.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Cooper AIS883,43.0,24000.0,1.4,70.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch ILO181,36.0,43000.0,0.9,65.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf UCW464,30.0,27000.0,0.9,70.0,500.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Worx XSE489,40.0,41000.0,1.1,55.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Boch JYT928,36.0,27000.0,1.55,50.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx BEX953,30.0,31000.0,1.0,50.0,400.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Champion LEK963,37.0,49000.0,1.85,60.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Gardez NNS637,38.0,28000.0,1.9,60.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
